1,018 Hansons Terrace,Smart City,OH,42536,2
2,5995 Lukken Avenue,Smart City,OH,42536,5
3,4649 Kropf Way,Smart City,OH,42536,18
4,01046 Mayfield Center,Smart City,OH,42536,2
5,0655 Merrick Pass,Smart City,OH,42536,4
6,5187 Bartillon Lane,Smart City,OH,42536,11
7,09 Southridge Center,Smart City,OH,42536,37
8,122 Prairie Rose Pass,Smart City,OH,42536,24
9,116 High Crossing Terrace,Smart City,OH,42536,24
10,784 Golf View Plaza,Smart City,OH,42536,24
11,410 Kennedy Court,Smart City,OH,42536,11
12,3 Basil Plaza,Smart City,OH,42536,10
13,33 Green Ridge Drive,Smart City,OH,42536,35
14,34214 Hermina Trail,Smart City,OH,42536,30
15,9978 Burning Wood Hill,Smart City,OH,42536,31
16,5074 1st Drive,Smart City,OH,42536,1
17,7 Fulton Trail,Smart City,OH,42536,9
18,69388 Golf View Drive,Smart City,OH,42536,31
19,160 Lakewood Gardens Alley,Smart City,OH,42536,32
20,640 Emmet Junction,Smart City,OH,42536,4
21,01 Gulseth Court,Smart City,OH,42536,4
22,1498 Havey Crossing,Smart City,OH,42536,7
23,49 Talisman Terrace,Smart City,OH,42536,3
24,248 Loftsgordon Hill,Smart City,OH,42536,29
25,384 Brentwood Lane,Smart City,OH,42536,26
26,884 Shasta Place,Smart City,OH,42536,11
27,7 School Way,Smart City,OH,42536,22
28,83293 Graedel Crossing,Smart City,OH,42536,29
29,662 Welch Parkway,Smart City,OH,42536,10
30,4 Packers Avenue,Smart City,OH,42536,10
31,20984 Hallows Alley,Smart City,OH,42536,18
32,67 Shasta Parkway,Smart City,OH,42536,21
33,4991 Karstens Pass,Smart City,OH,42536,6
34,3900 Oneill Place,Smart City,OH,42536,38
35,8313 Chinook Junction,Smart City,OH,42536,29
36,98728 Steensland Court,Smart City,OH,42536,23
37,7 Kingsford Avenue,Smart City,OH,42536,29
38,09 Kropf Plaza,Smart City,OH,42536,13
39,7591 Westport Circle,Smart City,OH,42536,20
40,3 Kensington Avenue,Smart City,OH,42536,8
41,18905 Toban Drive,Smart City,OH,42536,33
42,31965 Dwight Street,Smart City,OH,42536,26
43,1 Delaware Lane,Smart City,OH,42536,17
44,7 Cottonwood Lane,Smart City,OH,42536,7
45,7293 Pankratz Alley,Smart City,OH,42536,32
46,6 Cody Trail,Smart City,OH,42536,25
47,4328 Mayer Pass,Smart City,OH,42536,23
48,9 Golden Leaf Circle,Smart City,OH,42536,13
49,095 Fair Oaks Avenue,Smart City,OH,42536,29
50,8493 Farragut Center,Smart City,OH,42536,19
51,9437 Hintze Terrace,Smart City,OH,42536,22
52,0529 Trailsway Lane,Smart City,OH,42536,39
53,9 Forest Run Alley,Smart City,OH,42536,15
54,04455 Mendota Circle,Smart City,OH,42536,21
55,0215 Dennis Avenue,Smart City,OH,42536,21
56,29 Amoth Pass,Smart City,OH,42536,35
57,79872 Eagle Crest Drive,Smart City,OH,42536,21
58,02550 Garrison Parkway,Smart City,OH,42536,36
59,4507 Maywood Hill,Smart City,OH,42536,1
60,40444 Fairfield Way,Smart City,OH,42536,32
61,05046 Tennyson Crossing,Smart City,OH,42536,12
62,65770 Corry Plaza,Smart City,OH,42536,38
63,6094 Kinsman Terrace,Smart City,OH,42536,12
64,74902 Talisman Street,Smart City,OH,42536,5
65,9 Canary Junction,Smart City,OH,42536,30
66,6 Crest Line Pass,Smart City,OH,42536,32
67,9332 Ryan Circle,Smart City,OH,42536,29
68,305 Summerview Point,Smart City,OH,42536,40
69,03 Fallview Hill,Smart City,OH,42536,1
70,7 1st Plaza,Smart City,OH,42536,5
71,7124 Golf View Way,Smart City,OH,42536,24
72,77 Basil Place,Smart City,OH,42536,36
73,6 Anniversary Parkway,Smart City,OH,42536,17
74,98222 Corben Avenue,Smart City,OH,42536,11
75,769 Gina Center,Smart City,OH,42536,6
76,224 Miller Alley,Smart City,OH,42536,10
77,31 Corben Parkway,Smart City,OH,42536,30
78,6600 Weeping Birch Court,Smart City,OH,42536,19
79,5 Orin Circle,Smart City,OH,42536,21
80,76 Basil Court,Smart City,OH,42536,9
81,1648 Tennyson Lane,Smart City,OH,42536,6
82,348 Ramsey Terrace,Smart City,OH,42536,24
83,465 Springview Pass,Smart City,OH,42536,3
84,33609 Esker Road,Smart City,OH,42536,40
85,48 Haas Way,Smart City,OH,42536,10
86,487 Anhalt Way,Smart City,OH,42536,19
87,24757 Loftsgordon Plaza,Smart City,OH,42536,1
88,802 Anzinger Place,Smart City,OH,42536,18
89,195 Johnson Parkway,Smart City,OH,42536,2
90,48951 Luster Drive,Smart City,OH,42536,29
91,413 Portage Road,Smart City,OH,42536,9
92,12350 Anzinger Avenue,Smart City,OH,42536,22
93,4 Fuller Street,Smart City,OH,42536,19
94,35 Loomis Lane,Smart City,OH,42536,22
95,67892 Sunbrook Court,Smart City,OH,42536,6
96,39712 Killdeer Parkway,Smart City,OH,42536,38
97,6 Oakridge Parkway,Smart City,OH,42536,27
98,47116 Vidon Park,Smart City,OH,42536,40
99,40 Lyons Point,Smart City,OH,42536,10
100,4653 Kedzie Hill,Smart City,OH,42536,37
101,81868 Katie Avenue,Smart City,OH,42536,20
102,2669 Hudson Avenue,Smart City,OH,42536,33
103,23 Bunting Plaza,Smart City,OH,42536,6
104,79443 Kipling Junction,Smart City,OH,42536,19
105,5043 Fairview Crossing,Smart City,OH,42536,16
106,10922 Elgar Point,Smart City,OH,42536,30
107,5 Glendale Avenue,Smart City,OH,42536,22
108,1603 Hoard Road,Smart City,OH,42536,32
109,3 Gateway Alley,Smart City,OH,42536,16
110,81 Stephen Plaza,Smart City,OH,42536,18
111,8920 Anniversary Way,Smart City,OH,42536,34
112,57 Bashford Pass,Smart City,OH,42536,26
113,5 High Crossing Hill,Smart City,OH,42536,3
114,3413 North Park,Smart City,OH,42536,33
115,147 Di Loreto Point,Smart City,OH,42536,33
116,17311 Fallview Place,Smart City,OH,42536,10
117,65488 Comanche Circle,Smart City,OH,42536,21
118,53 Clarendon Way,Smart City,OH,42536,38
119,7625 Gina Terrace,Smart City,OH,42536,31
120,12839 Grayhawk Trail,Smart City,OH,42536,25
121,53 Clemons Way,Smart City,OH,42536,8
122,6 Fordem Way,Smart City,OH,42536,34
123,5864 Westerfield Junction,Smart City,OH,42536,32
124,936 Jenna Drive,Smart City,OH,42536,30
125,72 Butternut Crossing,Smart City,OH,42536,37
126,0081 Sherman Court,Smart City,OH,42536,16
127,1932 Boyd Pass,Smart City,OH,42536,34
128,8 Tennyson Alley,Smart City,OH,42536,20
129,94 Prairie Rose Court,Smart City,OH,42536,18
130,1345 Jackson Street,Smart City,OH,42536,29
131,4850 Bay Plaza,Smart City,OH,42536,40
132,415 Cascade Crossing,Smart City,OH,42536,2
133,55712 Green Ridge Park,Smart City,OH,42536,23
134,818 Green Park,Smart City,OH,42536,37
135,11 Burning Wood Place,Smart City,OH,42536,34
136,22 Monterey Place,Smart City,OH,42536,36
137,2917 Oak Valley Court,Smart City,OH,42536,33
138,97974 Green Ridge Place,Smart City,OH,42536,35
139,4 2nd Street,Smart City,OH,42536,15
140,7057 Michigan Terrace,Smart City,OH,42536,17
141,619 Bonner Center,Smart City,OH,42536,11
142,6 Comanche Alley,Smart City,OH,42536,32
143,1627 Chive Court,Smart City,OH,42536,34
