ID,ScheduleDate,CompletedDate,UtilityID,TrafficLightID,TechnicianId
1,1/15/2022,error: Field 'ScheduledDate' not found,212,,2
2,10/19/2023,error: Field 'ScheduledDate' not found,,70,46
3,12/30/2021,error: Field 'ScheduledDate' not found,765,,42
4,3/2/1998,error: Field 'ScheduledDate' not found,367,,19
5,12/2/2009,error: Field 'ScheduledDate' not found,960,,36
6,3/28/1998,error: Field 'ScheduledDate' not found,,436,1
7,2/7/2013,error: Field 'ScheduledDate' not found,91,,39
8,9/2/2005,error: Field 'ScheduledDate' not found,814,,6
9,4/7/2019,error: Field 'ScheduledDate' not found,,496,40
10,7/28/2011,error: Field 'ScheduledDate' not found,,308,14
11,6/4/2002,error: Field 'ScheduledDate' not found,514,,27
12,3/18/2004,error: Field 'ScheduledDate' not found,872,,4
13,1/23/2019,error: Field 'ScheduledDate' not found,,49,10
14,2/25/2013,error: Field 'ScheduledDate' not found,823,,32
15,6/27/2019,error: Field 'ScheduledDate' not found,474,,22
16,2/20/2022,error: Field 'ScheduledDate' not found,616,,37
17,9/27/2022,error: Field 'ScheduledDate' not found,655,,35
18,11/28/2013,error: Field 'ScheduledDate' not found,75,,35
19,10/15/1999,error: Field 'ScheduledDate' not found,,846,3
20,2/5/2015,error: Field 'ScheduledDate' not found,399,,6
21,8/29/2009,error: Field 'ScheduledDate' not found,994,,46
22,7/26/1999,error: Field 'ScheduledDate' not found,904,,22
23,3/2/2022,error: Field 'ScheduledDate' not found,,391,4
24,9/27/2009,error: Field 'ScheduledDate' not found,666,,32
25,5/8/2017,error: Field 'ScheduledDate' not found,599,,48
26,8/30/2013,error: Field 'ScheduledDate' not found,,84,10
27,10/10/2002,error: Field 'ScheduledDate' not found,677,,18
28,3/23/2020,error: Field 'ScheduledDate' not found,707,,5
29,10/4/1998,error: Field 'ScheduledDate' not found,,109,37
30,7/15/2010,error: Field 'ScheduledDate' not found,350,,30
31,12/13/2018,error: Field 'ScheduledDate' not found,,708,6
32,3/9/2022,error: Field 'ScheduledDate' not found,907,,50
33,8/24/2009,error: Field 'ScheduledDate' not found,940,,34
34,5/15/2010,error: Field 'ScheduledDate' not found,5,,19
35,2/6/1998,error: Field 'ScheduledDate' not found,606,,30
36,7/21/2004,error: Field 'ScheduledDate' not found,591,,24
37,9/29/2002,error: Field 'ScheduledDate' not found,406,,35
38,7/10/2001,error: Field 'ScheduledDate' not found,593,,22
39,6/4/2020,error: Field 'ScheduledDate' not found,214,,24
40,5/13/2007,error: Field 'ScheduledDate' not found,386,,28
41,10/28/2011,error: Field 'ScheduledDate' not found,630,,23
42,7/25/2015,error: Field 'ScheduledDate' not found,988,,21
43,12/11/2017,error: Field 'ScheduledDate' not found,257,,47
44,10/31/2005,error: Field 'ScheduledDate' not found,,27,25
45,11/28/2011,error: Field 'ScheduledDate' not found,536,,37
46,10/7/2008,error: Field 'ScheduledDate' not found,,98,25
47,5/2/2018,error: Field 'ScheduledDate' not found,55,,30
48,12/29/1999,error: Field 'ScheduledDate' not found,369,,6
49,5/25/2002,error: Field 'ScheduledDate' not found,96,,18
50,9/27/2021,error: Field 'ScheduledDate' not found,,670,24
51,3/16/2010,error: Field 'ScheduledDate' not found,468,,36
52,3/31/2006,error: Field 'ScheduledDate' not found,632,,20
53,7/16/2005,error: Field 'ScheduledDate' not found,649,,5
