ID,Status,LastMaintenance,LocationID
1,Good,2007-07-07 03:18:14,771
2,Good,2020-01-10 19:50:47,817
3,Good,,902
4,Good,1997-09-01 16:02:03,87
5,Good,2002-01-15 13:10:17,539
6,Good,1999-03-01 22:56:50,978
7,Good,2016-09-28 14:08:21,487
8,Good,2005-12-19 10:01:20,293
9,Good,2023-11-08 23:55:25,793
10,Good,2016-02-27 01:15:19,895
11,Good,2005-04-03 18:41:44,44
12,Good,2008-03-04 16:22:43,609
13,Good,1998-06-15 12:56:47,698
14,Good,2017-08-11 18:50:11,510
15,Good,2011-02-11 18:39:22,427
16,Good,2008-10-01 12:55:05,226
17,Good,2006-09-19 22:47:31,358
18,Good,2010-12-24 04:40:28,918
19,Good,2019-06-04 12:51:43,579
20,Good,1997-08-11 23:00:49,401
21,Good,2024-05-08 14:34:44,428
22,Good,2016-04-30 06:01:07,47
23,Good,2000-10-30 19:03:44,147
24,Good,2012-02-09 06:39:19,568
25,Good,2023-05-05 00:43:49,904
26,Good,2022-09-26 15:42:37,758
27,Good,2007-07-03 18:02:54,855
28,Good,2018-01-24 20:47:08,630
29,Good,2018-12-16 04:50:11,854
30,Good,2014-08-30 03:31:40,697
31,Good,2015-03-19 18:25:30,261
32,Good,2000-06-21 10:35:19,792
33,Good,2021-08-29 21:15:39,347
34,Needs Maintenance,2008-10-24 11:50:41,796
35,Good,2011-12-12 08:33:29,804
36,Good,2004-06-15 08:48:31,259
37,Good,2010-10-29 05:34:44,181
38,Good,2016-08-30 11:00:00,963
39,Good,2013-05-16 07:14:48,904
40,Good,2000-02-14 05:58:46,922
41,Good,2007-05-03 02:25:39,424
42,Needs Maintenance,2001-10-19 10:11:50,842
43,Good,2017-12-14 23:19:21,480
44,Good,2004-01-30 20:53:09,494
45,Good,1998-09-22 12:05:20,679
46,Good,2005-04-01 10:44:35,150
47,Good,1999-02-19 20:43:17,160
48,Good,2014-11-06 12:06:13,438
49,Good,2017-02-24 16:19:03,655
50,Good,2000-12-29 18:30:44,344
51,Good,2020-01-02 07:11:56,451
52,Good,2004-11-26 14:29:22,375
53,Good,2016-06-14 22:32:39,879
54,Good,2022-04-12 14:30:05,64
55,Good,2021-06-01 18:20:54,410
56,Good,2018-12-08 10:03:16,432
57,Needs Maintenance,2008-06-12 01:57:14,926
58,Good,2012-06-03 21:09:04,795
59,Good,2001-04-13 19:35:24,829
60,Good,2007-01-18 09:13:22,329
61,Good,2006-04-30 01:54:33,98
62,Good,2016-03-16 16:50:29,861
63,Good,2011-01-25 22:31:02,485
64,Good,2018-03-17 05:23:07,993
65,Good,2023-09-22 21:14:33,564
66,Good,2009-12-13 02:50:54,682
67,Good,2024-03-30 12:45:23,497
68,Good,2022-12-10 11:36:48,376
69,Good,2010-04-21 19:49:59,449
70,Good,1997-07-24 08:54:19,550
71,Good,2009-04-07 07:29:33,528
72,Good,2004-01-11 20:34:56,183
73,Good,2005-04-23 18:52:53,884
74,Good,2005-06-18 23:33:38,291
75,Good,2000-04-20 18:49:34,399
76,Good,1999-11-21 02:56:36,919
77,Good,2018-02-10 07:22:34,68
78,Good,2000-04-22 03:39:30,524
79,Good,2003-12-31 13:39:24,94
80,Good,2023-11-18 05:52:36,561
81,Good,2024-04-21 13:30:39,637
82,Good,2010-01-01 21:24:54,57
83,Needs Maintenance,2013-07-12 08:26:31,518
84,Good,2018-09-21 19:33:40,962
85,Good,1999-10-04 08:27:21,869
86,Good,2012-02-29 18:28:11,778
87,Good,2000-09-15 10:03:30,526
88,Good,2006-11-27 12:06:10,540
89,Good,1998-04-13 20:36:57,72
90,Good,2017-09-23 02:00:39,421
91,Good,2008-07-30 22:26:02,377
92,Needs Maintenance,2001-11-29 08:32:37,404
93,Good,2005-10-15 18:31:03,875
94,Good,2020-05-08 05:00:11,829
95,Good,2009-03-21 23:20:10,603
96,Good,2017-07-19 12:12:01,952
97,Good,2003-09-24 04:29:41,626
98,Good,2000-03-21 18:58:50,335
99,Good,2015-12-22 21:55:26,543
100,Good,1998-11-27 06:48:05,319
101,Good,2017-02-28 04:06:39,557
102,Good,2022-09-09 05:14:49,70
103,Good,2023-11-25 05:40:38,999
104,Good,2005-10-02 02:04:01,573
105,Good,2003-09-20 12:05:06,669
106,Good,2008-11-19 17:24:26,824
107,Needs Maintenance,2017-03-29 18:18:10,982
108,Good,2015-07-09 15:08:15,568
109,Good,1999-03-24 02:33:14,535
110,Good,2006-12-12 10:47:50,125
111,Good,2014-11-14 00:52:41,784
112,Good,2003-02-05 15:41:08,756
113,Needs Maintenance,2000-05-16 14:16:03,503
114,Good,2000-04-07 05:02:30,520
115,Good,1997-09-02 06:27:16,385
116,Good,,519
117,Good,2009-08-06 01:03:37,85
118,Needs Maintenance,2012-01-14 16:51:27,88
119,Good,2009-02-24 08:14:42,660
120,Good,2014-10-02 02:56:00,237
121,Good,2014-03-01 14:08:54,138
122,Good,2014-04-04 22:25:21,394
123,Good,2006-04-24 08:35:11,161
124,Good,2013-12-30 02:10:48,536
125,Good,2016-11-12 09:55:27,96
126,Good,2002-10-10 07:08:22,866
127,Good,2015-12-25 00:53:08,438
128,Needs Maintenance,2014-11-06 16:46:15,355
129,Good,2018-08-19 10:58:18,230
130,Good,2013-03-09 16:20:15,800
131,Good,2009-05-06 07:54:14,899
132,Good,2005-10-02 04:16:32,958
133,Good,1998-03-02 14:39:25,893
134,Good,2002-07-21 01:21:55,212
135,Good,2022-10-31 19:06:06,739
136,Good,2013-08-21 20:41:20,446
137,Good,2014-09-25 19:57:41,902
138,Good,2003-09-18 15:31:28,521
139,Good,2007-03-06 13:58:08,539
140,Good,2017-02-16 19:49:02,539
141,Needs Maintenance,2013-08-15 17:37:18,141
142,Good,2018-09-17 16:02:49,784
143,Good,2021-07-27 12:58:05,642
144,Good,2004-03-23 08:27:57,96
145,Good,2021-06-13 10:20:26,976
146,Good,2017-11-07 09:18:50,902
147,Good,,623
148,Good,1997-12-12 04:57:58,309
149,Good,2024-01-15 18:59:37,511
150,Good,2002-10-18 19:22:41,636
151,Good,1999-06-17 12:24:10,284
152,Good,2022-05-26 04:46:29,316
153,Good,2005-01-14 16:39:52,157
154,Good,2002-05-17 17:07:54,779
155,Good,2020-12-12 10:11:38,159
156,Good,2017-04-17 03:57:18,396
157,Good,1998-12-30 05:52:39,300
158,Good,2018-02-08 08:24:28,800
159,Needs Maintenance,2006-04-30 08:41:26,132
160,Good,2020-09-05 20:40:57,1
161,Good,2003-03-22 22:10:55,151
162,Good,2012-08-03 15:34:54,67
163,Good,2010-01-23 10:58:40,256
164,Good,2015-02-10 07:32:36,11
165,Good,1998-04-18 09:53:38,639
166,Good,2015-03-22 10:57:31,510
167,Good,2019-07-29 13:52:12,891
168,Good,2012-07-09 02:08:48,502
169,Good,2014-07-25 15:23:58,868
170,Good,1999-08-01 09:29:07,18
171,Good,2009-02-19 06:16:29,98
172,Needs Maintenance,2019-12-17 08:40:28,89
173,Good,2010-10-12 15:08:35,366
174,Good,2000-01-16 02:59:50,469
175,Good,2021-01-28 13:17:30,148
176,Good,2010-07-07 16:57:46,839
177,Good,1998-05-16 02:48:25,652
178,Good,2023-08-22 21:43:21,223
179,Good,2013-05-07 20:50:39,523
180,Good,2020-01-12 13:41:43,912
181,Good,2023-06-16 15:15:24,485
182,Good,2019-02-22 20:59:34,698
183,Good,2021-01-18 04:03:38,442
184,Good,2022-08-22 12:34:36,659
185,Good,2008-03-24 22:04:56,461
186,Good,2010-09-21 00:45:48,617
187,Good,2021-05-13 17:12:01,76
188,Good,2013-05-19 20:09:18,947
189,Good,2013-11-08 11:02:25,611
190,Good,2021-03-19 10:02:16,12
191,Good,2018-12-30 00:45:05,380
192,Good,2007-12-17 15:27:28,890
193,Good,2007-02-05 04:32:31,546
194,Good,2001-08-21 11:35:14,584
195,Good,2010-01-18 21:38:03,822
196,Good,2009-10-16 02:21:00,536
197,Good,2008-07-17 03:47:52,450
198,Good,2000-12-25 07:57:50,44
199,Good,2007-11-04 02:01:55,455
200,Good,2004-10-24 00:23:50,91
201,Good,2009-07-11 01:46:38,968
202,Good,2006-09-29 00:45:48,945
203,Good,1998-01-19 06:40:26,418
204,Good,2016-02-14 06:54:54,751
205,Good,2004-06-02 09:20:37,518
206,Good,2019-08-04 15:39:05,444
207,Good,2017-03-15 09:49:59,834
208,Good,2015-02-07 11:05:38,199
209,Good,2011-07-18 07:59:14,881
210,Good,2022-08-03 09:12:16,952
211,Needs Maintenance,2018-02-04 12:17:30,135
212,Good,2016-05-20 21:07:45,801
213,Good,2020-07-24 20:40:39,962
214,Good,2002-03-26 12:14:41,746
215,Good,2013-10-20 21:45:38,465
216,Good,2000-02-01 04:43:09,921
217,Good,2023-10-27 02:27:44,568
218,Good,1997-10-01 06:40:02,962
219,Good,2017-07-25 06:29:59,49
220,Needs Maintenance,2019-09-22 01:36:12,608
221,Good,2002-01-30 11:51:55,843
222,Good,2018-04-14 12:08:50,387
223,Good,2004-06-25 00:51:51,201
224,Good,2015-09-13 03:50:36,760
225,Good,2007-08-02 16:50:36,589
226,Good,2010-12-21 20:11:53,619
227,Good,2011-11-13 01:37:58,786
228,Good,2018-04-07 07:08:47,387
229,Good,2019-04-19 04:15:50,164
230,Good,2015-09-28 02:11:25,983
231,Good,2024-06-13 10:23:55,515
232,Good,2011-04-22 13:18:37,122
233,Needs Maintenance,2014-01-02 05:20:40,238
234,Good,2008-11-04 10:24:23,877
235,Good,2011-11-16 09:17:05,528
236,Needs Maintenance,2018-06-04 04:58:58,881
237,Good,2001-04-04 06:45:09,381
238,Good,2022-06-07 10:53:44,870
239,Good,2023-09-20 11:52:00,117
240,Good,2000-07-08 13:10:38,347
241,Good,2010-07-14 23:18:17,905
242,Good,2016-11-23 10:09:38,467
243,Good,2008-03-20 04:51:14,98
244,Good,1999-02-27 21:50:24,603
245,Good,2020-03-03 21:51:33,692
246,Good,2001-09-15 19:09:23,819
247,Good,2009-03-17 22:35:33,886
248,Good,1998-01-14 10:02:13,692
249,Good,2002-03-06 08:29:15,326
250,Good,,708
251,Good,2000-12-14 22:33:52,83
252,Good,2016-02-17 17:58:23,420
253,Good,2022-12-05 11:12:32,437
254,Good,2013-02-12 08:28:28,969
255,Good,2020-02-23 05:04:24,525
256,Good,2011-08-06 16:07:51,38
257,Good,2000-08-17 03:51:40,606
258,Good,2018-03-14 19:27:30,83
259,Good,2006-08-10 23:26:37,60
260,Good,,493
261,Good,2019-07-02 18:54:23,905
262,Good,2003-11-15 06:18:42,226
263,Good,2021-10-03 18:02:15,133
264,Good,2009-03-22 19:39:33,842
265,Good,2020-12-28 19:45:15,228
266,Good,2001-06-25 09:59:17,532
267,Good,2019-04-14 06:47:05,655
268,Good,2023-12-09 08:59:24,493
269,Good,2023-08-13 03:33:45,778
270,Good,2009-03-29 11:24:37,552
271,Good,2023-10-10 06:42:21,398
272,Good,2013-06-26 15:49:39,288
273,Good,2010-07-16 00:12:52,72
274,Good,2023-07-28 22:28:41,852
275,Good,2014-09-16 19:41:01,621
276,Good,2003-09-14 23:35:53,428
277,Good,2003-02-20 10:20:39,142
278,Good,2001-05-01 05:17:05,313
279,Good,2008-11-13 03:43:56,451
280,Good,2018-10-04 01:21:04,559
281,Good,2004-12-07 20:03:51,542
282,Good,2018-02-03 16:15:37,930
283,Good,2022-02-11 14:58:41,51
284,Good,2021-04-06 14:11:58,820
285,Good,2000-09-20 03:47:34,495
286,Good,2021-08-07 02:09:17,333
287,Good,2011-01-24 11:04:05,92
288,Good,2009-06-02 11:49:44,798
289,Good,2005-01-29 06:24:27,270
290,Good,2003-01-21 01:01:42,277
291,Good,2018-05-16 11:02:34,220
292,Good,2001-05-27 11:19:12,292
293,Good,,983
294,Needs Maintenance,2024-05-26 10:18:22,555
295,Good,2021-09-14 16:25:11,48
296,Good,1998-11-03 00:50:16,365
297,Good,2016-05-11 20:57:11,683
298,Good,1998-07-12 03:23:37,916
299,Good,2010-01-14 14:45:48,687
300,Good,2020-11-16 01:24:17,134
301,Good,1998-09-07 18:50:29,364
