ID,Type,Status,LastMaintenance,LocationID
1,Pipeline,Good,2021-09-15 10:23:23,911
2,Pipeline,Good,2017-07-31 06:57:46,731
3,Road Construction,Good,2021-08-01 09:39:02,122
4,Pipeline,Good,2018-04-04 21:06:15,451
5,Sewer,Good,2007-01-22 06:28:04,566
6,Powerline,Good,2010-03-04 21:48:29,265
7,Road Construction,Good,2008-05-30 07:27:32,431
8,Electricity,Good,2016-01-26 13:25:10,966
9,Pipeline,Good,2003-09-22 09:59:42,944
10,Pipeline,Good,2013-11-20 04:29:56,722
11,Sewer,Good,2006-08-07 22:54:47,26
12,Electricity,Good,2016-07-22 01:58:16,617
13,Sewer,Good,2008-08-29 19:40:08,235
14,Pipeline,Good,2012-04-25 01:00:49,133
15,Road Construction,Good,2007-03-09 03:07:22,706
16,Pipeline,Good,2014-07-23 13:27:24,995
17,Road Construction,Good,2001-11-01 00:44:53,116
18,Powerline,Good,,776
19,Road Construction,Good,2008-08-27 10:46:12,709
20,Powerline,Good,2018-05-04 01:49:13,96
21,Electricity,Good,1999-02-10 08:43:34,245
22,Electricity,Good,2007-06-25 20:57:45,821
23,Electricity,Good,2023-11-02 10:12:33,754
24,Sewer,Good,,584
25,Pipeline,Good,2009-11-23 22:28:09,411
26,Sewer,Good,2008-07-18 19:19:14,619
27,Powerline,Good,2002-05-31 11:30:43,186
28,Road Construction,Good,2008-11-28 22:56:21,827
29,Sewer,Good,,677
30,Electricity,Good,2021-03-25 23:27:44,674
31,Road Construction,Good,2004-11-10 04:17:47,341
32,Sewer,Good,2015-09-14 02:26:01,260
33,Powerline,Good,2018-08-15 09:07:29,362
34,Road Construction,Good,2005-09-18 14:30:21,773
35,Electricity,Good,2002-07-06 08:18:18,174
36,Powerline,Good,2012-01-06 19:53:30,881
37,Electricity,Good,2010-10-26 14:31:51,945
38,Powerline,Good,2011-03-12 18:15:57,295
39,Electricity,Good,2002-02-01 09:58:21,639
40,Sewer,Good,2001-03-15 14:32:47,920
41,Electricity,Good,2024-05-27 07:06:15,342
42,Pipeline,Good,1999-01-28 10:02:53,54
43,Powerline,Good,1998-06-21 17:14:24,170
44,Pipeline,Good,2001-01-20 06:58:32,269
45,Electricity,Good,2004-08-26 16:55:51,57
46,Electricity,Good,2018-06-01 03:03:06,
47,Electricity,Good,2023-06-24 14:47:58,298
48,Road Construction,Broken,2010-07-19 14:02:02,921
49,Pipeline,Good,2005-12-06 23:52:30,285
50,Powerline,Good,2021-05-07 10:31:44,646
51,Road Construction,Good,2018-01-25 10:39:59,19
52,Pipeline,Good,2005-02-11 00:44:07,845
53,Electricity,Good,2014-05-08 20:01:22,996
54,Sewer,Good,2019-09-05 05:56:21,401
55,Road Construction,Good,2006-05-07 03:24:46,549
56,Pipeline,Good,1998-08-22 01:08:12,212
57,Electricity,Good,2022-08-05 12:39:03,469
58,Electricity,Good,2008-12-02 12:01:29,623
59,Powerline,Good,2000-11-11 11:35:57,72
60,Electricity,Good,2003-10-13 20:41:55,416
61,Powerline,Good,2005-10-25 15:51:58,384
62,Powerline,Good,2022-11-25 12:30:05,931
63,Road Construction,Good,2011-10-26 21:35:34,527
64,Sewer,Good,2007-02-09 21:31:06,728
65,Electricity,Good,2004-03-21 08:20:56,874
66,Powerline,Good,2018-05-07 23:19:35,560
67,Road Construction,Good,2014-04-18 22:20:08,681
68,Road Construction,Good,2017-04-24 07:12:25,494
69,Sewer,Good,2015-04-01 21:51:49,219
70,Sewer,Needs Maintenance,2015-10-26 17:55:04,275
71,Powerline,Good,1999-08-05 12:15:37,918
72,Electricity,Good,2000-02-17 23:29:42,168
73,Road Construction,Good,2024-06-12 16:04:46,88
74,Sewer,Needs Maintenance,2020-09-06 20:01:56,53
75,Sewer,Good,2009-10-24 12:29:02,757
76,Electricity,Needs Maintenance,2005-03-14 17:28:05,804
77,Road Construction,Good,2004-11-22 01:53:36,928
78,Powerline,Good,2012-10-23 08:34:54,546
79,Electricity,Good,1997-09-01 20:46:49,574
80,Electricity,Good,2002-09-12 08:09:59,326
81,Powerline,Good,1999-06-15 10:25:55,957
82,Powerline,Good,2008-10-20 21:01:51,513
83,Road Construction,Good,2013-07-07 04:02:10,218
84,Sewer,Good,2010-05-02 02:02:26,836
85,Pipeline,Good,2021-07-07 12:00:44,399
86,Electricity,Good,1999-10-03 15:32:33,84
87,Powerline,Good,2013-09-17 00:52:54,23
88,Electricity,Good,2006-02-13 09:12:03,591
89,Sewer,Good,2014-07-26 02:43:04,685
90,Powerline,Good,2009-09-24 16:38:15,437
91,Road Construction,Good,2004-10-15 22:02:41,72
92,Powerline,Good,2015-07-03 17:17:29,845
93,Sewer,Good,2000-07-17 11:22:30,704
94,Powerline,Good,2020-04-04 02:42:45,136
95,Electricity,Good,2024-06-25 05:04:49,92
96,Powerline,Good,2019-06-17 00:08:10,783
97,Sewer,Good,2010-11-17 12:25:13,20
98,Pipeline,Good,2007-06-23 01:06:45,714
99,Pipeline,Good,2006-09-17 02:32:58,567
100,Road Construction,Good,2011-10-07 01:13:59,947
101,Powerline,Good,2018-07-20 17:26:25,366
102,Pipeline,Good,2022-01-20 20:30:09,796
103,Sewer,Good,2013-06-23 19:09:06,67
104,Sewer,Good,1998-11-20 00:23:36,599
105,Sewer,Broken,2019-07-01 14:41:43,250
106,Pipeline,Good,2005-09-24 15:24:46,
107,Electricity,Good,2011-03-27 01:16:39,581
108,Electricity,Good,2000-10-27 08:34:18,506
109,Electricity,Good,2013-05-16 11:08:51,115
110,Pipeline,Good,2000-06-13 22:42:55,798
111,Powerline,Good,2007-06-03 10:48:13,55
112,Sewer,Good,2022-06-23 06:21:19,166
113,Powerline,Good,2017-12-09 23:49:21,665
114,Sewer,Good,2001-12-03 06:56:59,849
115,Electricity,Good,2004-08-21 19:25:59,567
116,Electricity,Good,2019-03-05 12:10:09,691
117,Powerline,Good,2015-08-17 01:03:12,920
118,Road Construction,Good,2015-10-12 09:25:23,250
119,Sewer,Good,2010-11-26 16:47:13,245
120,Powerline,Good,2002-05-12 07:59:08,951
121,Sewer,Good,2019-04-13 14:24:09,22
122,Pipeline,Good,2009-07-01 18:53:14,363
123,Pipeline,Good,2002-12-02 08:18:04,92
124,Pipeline,Good,2009-10-12 21:55:27,787
125,Electricity,Good,2013-05-12 21:22:03,37
126,Sewer,Good,2015-06-07 08:56:26,733
127,Electricity,Good,2013-12-15 04:14:34,283
128,Electricity,Good,2016-03-20 23:58:58,688
129,Pipeline,Good,2004-01-30 23:50:59,799
130,Pipeline,Good,2013-09-06 23:10:34,840
131,Pipeline,Good,2010-04-26 06:14:03,274
132,Sewer,Good,2019-09-19 08:26:38,183
133,Road Construction,Good,2023-09-14 18:45:19,969
134,Electricity,Good,2020-05-02 01:17:51,425
135,Electricity,Good,2003-11-26 10:38:55,282
136,Pipeline,Good,2005-05-15 15:02:49,946
137,Electricity,Good,2009-07-05 15:45:16,950
138,Pipeline,Good,2010-08-11 17:25:56,138
139,Pipeline,Broken,1998-05-03 14:19:32,242
140,Sewer,Needs Maintenance,2022-03-06 16:17:15,
141,Electricity,Good,2016-08-06 04:10:41,727
142,Electricity,Good,2022-03-20 09:43:06,907
143,Electricity,Good,2010-07-02 13:40:44,150
144,Road Construction,Good,2001-10-27 16:42:20,959
145,Electricity,Good,2020-04-20 11:17:47,486
146,Sewer,Good,1997-11-30 03:14:38,767
147,Electricity,Good,2009-08-16 21:20:36,337
148,Electricity,Good,2021-04-28 14:51:31,546
149,Powerline,Good,2003-06-18 23:26:27,974
150,Pipeline,Broken,,541
151,Road Construction,Good,2022-11-26 17:12:57,349
152,Pipeline,Good,2013-09-02 02:00:37,669
153,Electricity,Good,2021-08-27 22:40:49,758
154,Powerline,Good,2016-07-28 08:50:06,638
155,Electricity,Good,2023-06-18 09:57:20,
156,Powerline,Good,2018-06-24 11:50:44,361
157,Pipeline,Good,1999-03-28 16:22:29,415
158,Pipeline,Needs Maintenance,2005-05-30 18:14:51,500
159,Powerline,Good,2006-02-07 13:50:38,306
160,Electricity,Good,2017-04-28 19:15:34,802
161,Road Construction,Good,2023-01-19 20:07:52,338
162,Road Construction,Good,2010-01-24 11:10:27,593
163,Road Construction,Good,2006-08-30 23:18:32,557
164,Sewer,Broken,2002-11-20 04:02:26,572
165,Sewer,Good,2002-12-30 02:09:20,991
166,Powerline,Good,1998-11-11 14:45:48,79
167,Electricity,Good,2013-06-18 17:14:26,57
168,Road Construction,Needs Maintenance,2008-05-21 19:53:40,331
169,Electricity,Good,2005-01-09 01:55:54,294
170,Road Construction,Good,2018-06-03 17:59:39,947
171,Sewer,Good,1997-11-25 03:08:09,
172,Powerline,Good,2009-05-08 17:32:39,989
173,Road Construction,Good,2021-01-14 09:42:24,24
174,Road Construction,Good,2004-04-03 03:03:43,927
175,Road Construction,Needs Maintenance,2001-02-08 02:15:47,222
176,Powerline,Good,2005-07-04 15:44:12,770
177,Road Construction,Good,2010-07-23 09:50:23,596
178,Sewer,Good,2011-05-07 03:52:46,95
179,Pipeline,Good,2015-11-27 11:00:00,915
180,Pipeline,Good,2001-07-01 23:10:10,315
181,Powerline,Needs Maintenance,2007-08-16 15:18:48,350
182,Electricity,Needs Maintenance,2009-01-31 20:24:55,7
183,Road Construction,Good,2018-06-17 17:06:16,88
184,Powerline,Good,2023-09-09 07:27:27,169
185,Pipeline,Good,2017-10-29 11:07:02,
186,Electricity,Good,2001-08-10 19:21:04,144
187,Sewer,Good,2017-08-27 00:48:39,447
188,Road Construction,Good,2017-09-27 21:05:27,392
189,Electricity,Good,2007-09-08 12:54:02,969
190,Road Construction,Good,2004-03-18 20:55:22,715
191,Electricity,Good,2004-07-03 01:44:09,623
192,Sewer,Good,,299
193,Electricity,Good,2000-07-15 19:53:46,525
194,Powerline,Good,1999-12-19 14:55:24,576
195,Sewer,Good,2005-11-30 19:04:03,718
196,Road Construction,Good,2011-07-12 05:39:23,949
197,Electricity,Good,2010-07-30 02:48:00,158
198,Road Construction,Good,2014-10-03 04:04:25,236
199,Road Construction,Good,1997-10-29 15:35:00,465
200,Powerline,Good,2007-03-30 17:53:03,777
201,Road Construction,Good,2016-08-26 16:47:52,927
202,Sewer,Good,2013-01-16 04:06:42,741
203,Powerline,Good,2006-09-08 14:58:52,528
204,Electricity,Good,2024-06-01 14:02:13,211
205,Road Construction,Good,2004-11-13 04:02:26,946
206,Sewer,Good,2005-04-23 22:51:23,111
207,Powerline,Good,2006-11-30 04:07:25,123
208,Electricity,Good,2000-01-27 17:46:07,742
209,Pipeline,Good,2008-08-01 10:45:57,669
210,Electricity,Good,2008-01-26 15:31:00,141
211,Powerline,Good,2009-09-13 17:44:32,769
212,Sewer,Good,2005-05-30 01:40:54,706
213,Electricity,Needs Maintenance,2016-09-03 20:46:23,368
214,Sewer,Good,2009-07-02 17:59:32,679
215,Pipeline,Good,2018-01-20 13:28:44,19
216,Electricity,Good,2000-10-09 02:45:06,534
217,Road Construction,Good,2009-01-23 12:42:01,235
218,Powerline,Needs Maintenance,2019-09-17 06:20:07,411
219,Sewer,Good,2011-11-08 06:35:10,756
220,Sewer,Good,2007-07-27 05:39:35,208
221,Pipeline,Needs Maintenance,2009-03-11 04:04:27,298
222,Pipeline,Good,2018-10-18 11:34:48,906
223,Electricity,Good,2022-08-20 06:27:17,431
224,Electricity,Good,2009-12-14 04:52:12,493
225,Sewer,Good,,187
226,Road Construction,Good,2019-07-03 23:53:03,629
227,Pipeline,Good,2021-01-24 12:17:40,200
228,Powerline,Good,2015-07-04 15:28:33,885
229,Powerline,Good,2012-10-23 06:45:19,717
230,Road Construction,Good,2004-02-08 14:56:38,246
231,Pipeline,Good,2004-01-07 11:08:22,178
232,Powerline,Good,2008-05-04 19:19:10,571
233,Pipeline,Good,2006-07-01 21:08:46,568
234,Sewer,Good,1998-07-05 01:19:22,492
235,Pipeline,Good,2016-07-09 01:22:16,482
236,Powerline,Good,2020-04-21 17:48:49,680
237,Powerline,Good,2003-05-10 14:21:41,403
238,Pipeline,Good,2010-02-28 10:51:58,65
239,Pipeline,Good,2023-01-22 11:45:52,181
240,Electricity,Good,2006-12-03 02:14:07,811
241,Sewer,Good,2012-08-01 00:37:45,892
242,Electricity,Good,2002-08-15 18:08:24,600
243,Road Construction,Good,2020-10-05 19:53:11,26
244,Pipeline,Good,2009-11-23 00:47:59,697
245,Powerline,Good,1999-01-11 06:37:05,388
246,Sewer,Good,,51
247,Road Construction,Needs Maintenance,2023-10-13 06:40:20,543
248,Road Construction,Good,1999-04-18 19:09:45,284
249,Sewer,Good,2006-08-28 14:06:00,617
250,Road Construction,Good,2003-04-06 05:07:25,25
251,Sewer,Good,1999-01-13 02:20:20,268
252,Electricity,Needs Maintenance,2004-08-07 16:36:04,343
253,Road Construction,Good,1999-05-04 18:17:43,736
254,Electricity,Good,2022-05-29 21:11:38,91
255,Electricity,Good,2013-08-17 08:10:30,802
256,Road Construction,Broken,2022-04-29 18:15:39,520
257,Sewer,Good,2013-10-15 15:00:57,171
258,Road Construction,Needs Maintenance,2011-04-05 00:09:23,86
259,Powerline,Needs Maintenance,2014-05-30 13:15:59,89
260,Powerline,Needs Maintenance,2003-10-16 08:33:05,919
261,Pipeline,Good,2015-09-02 22:35:53,82
262,Road Construction,Good,2018-03-06 23:52:20,53
263,Electricity,Good,1998-10-08 05:11:45,25
264,Road Construction,Good,2011-03-05 11:39:28,980
265,Pipeline,Good,2010-06-09 02:57:38,668
266,Powerline,Broken,2022-09-14 20:26:56,407
267,Road Construction,Good,2020-06-25 01:13:25,172
268,Electricity,Needs Maintenance,1999-03-08 11:47:31,873
269,Powerline,Good,2010-06-28 21:30:15,181
270,Powerline,Good,1999-01-01 22:35:51,108
271,Electricity,Good,2001-01-29 00:41:05,306
272,Sewer,Good,2016-07-15 03:38:51,589
273,Electricity,Good,2017-12-19 01:27:18,645
